"County","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"York","24.33","28.33","38.75","50.45","61.60","71.63","76.17","73.93","65.23","52.54","38.35","26.44"
"Wheeler","22.32","26.22","35.98","47.35","58.32","68.28","73.69","71.64","62.37","49.61","35.66","24.08"
"Webster","25.20","29.09","39.06","50.07","60.72","71.28","76.66","74.45","65.01","51.95","38.07","26.78"
"Wayne","20.59","24.96","35.48","47.91","59.26","69.33","73.84","71.73","62.68","50.04","35.50","22.95"
"Washington","22.41","26.80","38.04","50.54","61.50","71.18","75.40","73.24","64.61","52.33","37.98","25.00"
"Valley","23.20","27.02","36.71","47.71","58.44","68.47","73.95","72.05","62.42","49.57","35.81","24.61"
"Thurston","20.26","24.87","36.06","48.84","60.33","70.39","74.63","72.29","63.35","50.60","36.05","22.96"
"Thomas","24.68","28.05","36.59","46.53","57.11","66.88","73.19","71.47","61.55","48.78","35.51","25.24"
"Thayer","25.68","29.76","40.30","51.26","61.77","71.93","77.12","75.14","66.13","53.43","39.61","27.77"
"Stanton","21.25","25.52","36.10","48.41","59.68","69.76","74.18","71.99","63.02","50.34","35.85","23.49"
